DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
19-Mar-2026,EQ,"1,984.00","1,988.60","1,930.00","2,007.20","1,938.40","1,936.80","1,947.59","2,695.00","1,848.00","15,10,588","2,94,20,08,651.90","71,579"
18-Mar-2026,EQ,"1,988.90","2,027.00","1,982.20","1,975.40","2,008.00","2,007.20","2,011.93","2,695.00","1,848.00","10,41,095","2,09,46,08,371.70","53,221"
17-Mar-2026,EQ,"1,989.90","1,990.00","1,945.00","1,978.00","1,975.00","1,975.40","1,967.11","2,695.00","1,848.00","12,68,988","2,49,62,35,261.20","57,212"
16-Mar-2026,EQ,"1,961.00","1,994.80","1,946.60","1,961.10","1,970.00","1,978.00","1,967.81","2,695.00","1,848.00","14,65,828","2,88,44,66,564.00","60,264"
13-Mar-2026,EQ,"1,999.90","2,008.60","1,945.00","2,002.00","1,960.00","1,961.10","1,972.15","2,695.00","1,848.00","11,95,448","2,35,76,04,806.00","56,989"
12-Mar-2026,EQ,"1,960.00","2,026.00","1,947.10","1,974.70","2,000.30","2,002.00","1,996.59","2,695.00","1,848.00","14,73,773","2,94,25,27,760.30","72,297"
11-Mar-2026,EQ,"2,006.60","2,027.40","1,970.00","1,996.50","1,975.00","1,974.70","1,994.25","2,695.00","1,848.00","10,88,294","2,17,03,25,606.80","51,008"
10-Mar-2026,EQ,"2,030.00","2,030.00","1,982.20","1,999.20","2,002.00","1,996.50","1,996.85","2,695.00","1,848.00","16,80,405","3,35,55,10,314.70","71,660"
09-Mar-2026,EQ,"1,985.00","2,006.00","1,940.40","2,039.90","2,002.00","1,999.20","1,972.91","2,695.00","1,848.00","13,05,447","2,57,55,34,617.70","63,923"
06-Mar-2026,EQ,"2,079.10","2,090.00","2,030.20","2,089.20","2,042.60","2,039.90","2,059.54","2,695.00","1,848.00","16,96,027","3,49,30,27,690.50","59,225"
05-Mar-2026,EQ,"2,094.00","2,100.00","2,040.00","2,076.50","2,085.00","2,089.20","2,065.98","2,695.00","1,848.00","12,31,524","2,54,43,05,808.90","66,201"
04-Mar-2026,EQ,"2,104.60","2,104.60","2,037.50","2,124.60","2,070.00","2,076.50","2,064.28","2,695.00","1,848.00","15,85,848","3,27,36,37,042.20","86,583"
02-Mar-2026,EQ,"2,093.00","2,147.90","2,073.70","2,161.80","2,124.00","2,124.60","2,102.42","2,695.00","1,848.00","21,34,522","4,48,76,53,647.60","98,499"
27-Feb-2026,EQ,"2,210.00","2,216.40","2,153.00","2,216.40","2,157.00","2,161.80","2,172.76","2,695.00","1,848.00","14,33,096","3,11,37,71,484.90","39,471"
26-Feb-2026,EQ,"2,230.00","2,232.40","2,200.10","2,231.70","2,215.40","2,216.40","2,214.12","2,695.00","1,848.00","9,15,342","2,02,66,74,860.10","48,638"
25-Feb-2026,EQ,"2,193.20","2,237.30","2,180.10","2,183.00","2,225.00","2,231.70","2,210.01","2,695.00","1,848.00","14,74,187","3,25,79,67,789.70","63,011"
24-Feb-2026,EQ,"2,168.60","2,204.70","2,162.20","2,191.00","2,184.00","2,183.00","2,182.09","2,695.00","1,848.00","11,52,423","2,51,46,96,048.70","45,878"
23-Feb-2026,EQ,"2,180.00","2,203.00","2,155.30","2,160.80","2,186.70","2,191.00","2,185.30","2,695.00","1,848.00","11,03,960","2,41,24,82,216.60","41,831"
20-Feb-2026,EQ,"2,160.00","2,174.40","2,152.10","2,156.70","2,160.30","2,160.80","2,162.37","2,695.00","1,848.00","7,38,454","1,59,68,12,213.10","27,557"
19-Feb-2026,EQ,"2,218.90","2,218.90","2,151.00","2,211.20","2,159.00","2,156.70","2,175.25","2,695.00","1,848.00","11,01,633","2,39,63,28,183.10","51,782"
18-Feb-2026,EQ,"2,254.00","2,254.00","2,188.10","2,242.90","2,213.00","2,211.20","2,210.56","2,695.00","1,848.00","11,49,398","2,54,08,11,554.40","48,505"
17-Feb-2026,EQ,"2,170.00","2,252.00","2,170.00","2,184.60","2,244.40","2,242.90","2,218.44","2,695.00","1,848.00","19,31,699","4,28,53,61,223.50","62,075"
